path,service,has_fastapi,direct_routes,router_routes,delegates_to_router_registry,delegates_to_app_factory,delegates_to_runtime_module,status,reason
services/actuator-service/main.py,actuator-service,False,0,6,False,False,True,runtime_delegated_routes,main.py delegates to a runtime module that owns app construction/routes
services/agriai-engine/main.py,agriai-engine,True,8,0,False,False,False,direct_routes,main.py owns direct route handlers
services/ai_agronomist/main.py,ai_agronomist,True,13,0,False,False,True,direct_routes,main.py owns direct route handlers
services/auth/main.py,auth,True,0,27,True,False,True,delegated_routes,main.py delegates to router_registry and routers contain routes
services/decision-service/main.py,decision-service,True,49,0,False,False,False,direct_routes,main.py owns direct route handlers
services/edge-inference/main.py,edge-inference,True,6,0,False,False,False,direct_routes,main.py owns direct route handlers
services/field-segmentation/main.py,field-segmentation,True,4,0,False,False,False,direct_routes,main.py owns direct route handlers
services/guardrails-engine/main.py,guardrails-engine,True,0,7,True,False,False,delegated_routes,main.py delegates to router_registry and routers contain routes
services/indicators-service/main.py,indicators-service,True,7,0,False,False,False,direct_routes,main.py owns direct route handlers
services/knowledge-graph/main.py,knowledge-graph,True,7,0,False,False,False,direct_routes,main.py owns direct route handlers
services/local-ai-rag/main.py,local-ai-rag,True,5,0,False,False,False,direct_routes,main.py owns direct route handlers
services/odoo-bridge/main.py,odoo-bridge,True,0,10,True,False,True,delegated_routes,main.py delegates to router_registry and routers contain routes
services/rag-retrieval/main.py,rag-retrieval,True,5,0,False,False,False,direct_routes,main.py owns direct route handlers
services/raster-service/main.py,raster-service,False,0,78,False,True,True,factory_delegated_routes,main.py delegates to an app factory and routers contain routes
services/sam2-inference/main.py,sam2-inference,True,4,0,False,False,True,direct_routes,main.py owns direct route handlers
services/soil-service/main.py,soil-service,True,0,9,True,False,False,delegated_routes,main.py delegates to router_registry and routers contain routes
services/supervisor-agent/main.py,supervisor-agent,True,0,10,True,False,False,delegated_routes,main.py delegates to router_registry and routers contain routes
services/tts-service/main.py,tts-service,True,0,8,True,False,False,delegated_routes,main.py delegates to router_registry and routers contain routes
services/vegetation-analysis-service/main.py,vegetation-analysis-service,True,0,10,True,False,True,delegated_routes,main.py delegates to router_registry and routers contain routes
services/video-processor/main.py,video-processor,True,0,11,True,False,False,delegated_routes,main.py delegates to router_registry and routers contain routes
services/weather-service/main.py,weather-service,True,26,0,False,False,True,direct_routes,main.py owns direct route handlers
services/weather-polygon-worker/src/main.py,weather-polygon-worker,False,0,0,False,False,False,non_http_entrypoint,documented worker/bot entrypoint
services/weather-signal-engine/src/main.py,weather-signal-engine,False,0,0,False,False,False,non_http_entrypoint,documented worker/bot entrypoint
services/sahool-platform/api/main.py,sahool-platform,True,0,533,True,False,False,delegated_routes,main.py delegates to router_registry and routers contain routes
bots/telegram/main.py,telegram,False,0,0,False,False,False,non_http_entrypoint,documented worker/bot entrypoint
