file,line,requirement,package,exact_pinned,issue
tests_v9/requirements-test.txt,1,pytest>=8.2.0,pytest,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,2,pytest-asyncio>=0.23.0,pytest-asyncio,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,3,pytest-xdist>=3.5.0,pytest-xdist,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,4,pytest-cov>=5.0.0,pytest-cov,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,5,httpx>=0.27.0,httpx,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,6,anyio>=4.0.0,anyio,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,7,factory-boy>=3.3.0,factory-boy,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,8,freezegun>=1.4.0,freezegun,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,9,respx>=0.20.2,respx,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,10,ruff>=0.4.0,ruff,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,11,black>=24.0.0,black,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,12,sqlparse>=0.5.0,sqlparse,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,13,"asyncpg>=0.30.0,<0.32.0",asyncpg,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,14,redis>=5.0.0,redis,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,15,python-jose[cryptography]>=3.4.0,python-jose,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,19,pydantic[email]>=2.8.0,pydantic,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,20,bcrypt>=4.1.0,bcrypt,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,21,prometheus-client>=0.20.0,prometheus-client,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,22,PyJWT>=2.13.0,pyjwt,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,26,pyotp>=2.9.0,pyotp,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,29,PyYAML>=6.0,pyyaml,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,31,numpy>=1.24.0,numpy,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,32,hypothesis>=6.100.0,hypothesis,False,range_or_non_exact_pin
tests_v9/requirements-test.txt,35,nats-py>=2.3.0,nats-py,False,range_or_non_exact_pin
